Country_Target_Encoded,Year,temperature
0.3484516129032258,1982,-0.385
0.3484516129032258,1983,0.391
0.3484516129032258,1984,0.138
0.3484516129032258,1985,0.54
0.3484516129032258,1986,0.368
0.3484516129032258,1987,0.0
0.3484516129032258,1988,0.0
0.3484516129032258,1989,0.0
0.3484516129032258,1990,-0.727
0.3484516129032258,1991,0.0
0.3484516129032258,1992,0.0
0.3484516129032258,1993,0.564
0.3484516129032258,1994,0.0
0.3484516129032258,1995,0.37
0.3484516129032258,1996,0.469
0.3484516129032258,1997,0.216
0.3484516129032258,1998,1.148
0.3484516129032258,1999,0.231
0.3484516129032258,2000,0.0
0.3484516129032258,2001,0.0
0.3484516129032258,2002,0.0
0.3484516129032258,2003,0.552
0.3484516129032258,2004,0.618
0.3484516129032258,2005,1.22
0.3484516129032258,2006,0.323
0.3484516129032258,2007,0.586
0.3484516129032258,2008,0.295
0.3484516129032258,2009,0.727
0.3484516129032258,2010,0.971
0.3484516129032258,2011,-0.083
0.3484516129032258,2012,0.101
0.3484516129032258,2013,0.683
0.3484516129032258,2014,0.583
0.3484516129032258,2015,0.742
0.3484516129032258,2016,1.88
0.3484516129032258,2017,1.154
0.3484516129032258,2018,0.96
0.3484516129032258,2019,1.172
0.3484516129032258,2020,1.996
0.3484516129032258,2021,1.416
0.3484516129032258,2022,1.315
0.513,1961,-0.066
0.513,1962,-0.156
0.513,1963,0.101
0.513,1964,-0.145
0.513,1965,-0.074
0.513,1966,0.121
0.513,1967,-0.231
0.513,1968,-0.142
0.513,1969,0.261
0.513,1970,0.305
0.513,1971,-0.193
0.513,1972,0.118
0.513,1973,0.541
0.513,1974,-0.027
0.513,1975,-0.26
0.513,1976,-0.295
0.513,1977,0.387
0.513,1978,-0.04
0.513,1979,0.447
0.513,1980,0.418
0.513,1981,0.164
0.513,1982,0.173
0.513,1983,0.677
0.513,1984,0.55
0.513,1985,0.369
0.513,1986,0.212
0.513,1987,0.964
0.513,1988,0.608
0.513,1989,0.08
0.513,1990,0.597
0.513,1991,0.245
0.513,1992,0.046
0.513,1993,0.468
0.513,1994,0.454
0.513,1995,0.493
0.513,1996,0.627
0.513,1997,0.554
0.513,1998,1.088
0.513,1999,0.575
0.513,2000,0.523
0.513,2001,0.641
0.513,2002,0.732
0.513,2003,0.973
0.513,2004,0.703
0.513,2005,0.932
0.513,2006,0.968
0.513,2007,0.847
0.513,2008,0.711
0.513,2009,0.876
0.513,2010,1.249
0.513,2011,0.866
0.513,2012,0.571
0.513,2013,0.754
0.513,2014,0.923
0.513,2015,1.096
0.513,2016,1.125
0.513,2017,1.243
0.513,2018,1.123
0.513,2019,1.273
0.513,2020,1.134
0.513,2021,1.554
0.513,2022,0.975
0.0695483870967742,1961,-0.044
0.0695483870967742,1962,0.113
0.0695483870967742,1963,0.16
0.0695483870967742,1964,-0.274
0.0695483870967742,1965,-0.106
0.0695483870967742,1966,0.017
0.0695483870967742,1967,-0.325
0.0695483870967742,1968,-0.238
0.0695483870967742,1969,0.104
0.0695483870967742,1970,-0.412
0.0695483870967742,1971,-0.394
0.0695483870967742,1972,0.073
0.0695483870967742,1973,0.069
0.0695483870967742,1974,-0.339
0.0695483870967742,1975,-0.359
0.0695483870967742,1976,0.12
0.0695483870967742,1977,0.236
0.0695483870967742,1978,0.23
0.0695483870967742,1979,0.599
0.0695483870967742,1980,0.452
0.0695483870967742,1981,0.394
0.0695483870967742,1982,0.445
0.0695483870967742,1983,0.319
0.0695483870967742,1984,0.248
0.0695483870967742,1985,0.386
0.0695483870967742,1986,0.464
0.0695483870967742,1987,0.585
0.0695483870967742,1988,0.196
0.0695483870967742,1989,0.091
0.0695483870967742,1990,0.527
0.0695483870967742,1991,0.975
0.0695483870967742,1992,0.0
0.0695483870967742,1993,0.0
0.0695483870967742,1994,0.0
0.0695483870967742,1995,0.0
0.0695483870967742,1996,0.0
0.0695483870967742,1997,0.0
0.0695483870967742,1998,0.0
0.0695483870967742,1999,0.0
0.0695483870967742,2000,0.0
0.0695483870967742,2001,0.0
0.0695483870967742,2002,0.0
0.0695483870967742,2003,0.0
0.0695483870967742,2004,0.0
0.0695483870967742,2005,0.0
0.0695483870967742,2006,0.0
0.0695483870967742,2007,0.0
0.0695483870967742,2008,0.0
0.0695483870967742,2009,0.0
0.0695483870967742,2010,0.0
0.0695483870967742,2011,0.0
0.0695483870967742,2012,0.0
0.0695483870967742,2013,0.0
0.0695483870967742,2014,0.0
0.0695483870967742,2015,0.0
0.0695483870967742,2016,0.0
0.0695483870967742,2017,0.0
0.0695483870967742,2018,0.0
0.0695483870967742,2019,0.0
0.0695483870967742,2020,0.0
0.0695483870967742,2021,0.0
0.0695483870967742,2022,0.0
0.3907741935483871,1961,0.333
0.3907741935483871,1962,-0.183
0.3907741935483871,1963,-0.283
0.3907741935483871,1964,0.239
0.3907741935483871,1965,-0.606
0.3907741935483871,1966,-0.411
0.3907741935483871,1967,-0.21
0.3907741935483871,1968,0.007
0.3907741935483871,1969,-0.203
0.3907741935483871,1970,0.409
0.3907741935483871,1971,0.202
0.3907741935483871,1972,0.012
0.3907741935483871,1973,0.451
0.3907741935483871,1974,0.108
0.3907741935483871,1975,0.085
0.3907741935483871,1976,-0.161
0.3907741935483871,1977,0.053
0.3907741935483871,1978,0.221
0.3907741935483871,1979,0.271
0.3907741935483871,1980,0.238
0.3907741935483871,1981,0.186
0.3907741935483871,1982,0.238
0.3907741935483871,1983,0.142
0.3907741935483871,1984,0.376
0.3907741935483871,1985,0.29
0.3907741935483871,1986,0.082
0.3907741935483871,1987,0.049
0.3907741935483871,1988,0.857
0.3907741935483871,1989,0.487
0.3907741935483871,1990,0.419
0.3907741935483871,1991,0.39
0.3907741935483871,1992,0.268
0.3907741935483871,1993,0.001
0.3907741935483871,1994,0.301
0.3907741935483871,1995,0.471
0.3907741935483871,1996,0.282
0.3907741935483871,1997,0.17
0.3907741935483871,1998,0.201
0.3907741935483871,1999,0.119
0.3907741935483871,2000,0.272
0.3907741935483871,2001,0.564
0.3907741935483871,2002,0.78
0.3907741935483871,2003,0.455
0.3907741935483871,2004,0.632
0.3907741935483871,2005,0.769
0.3907741935483871,2006,0.55
0.3907741935483871,2007,0.821
0.3907741935483871,2008,0.292
0.3907741935483871,2009,0.356
0.3907741935483871,2010,0.869
0.3907741935483871,2011,0.602
0.3907741935483871,2012,0.671
0.3907741935483871,2013,0.807
0.3907741935483871,2014,0.713
0.3907741935483871,2015,0.759
0.3907741935483871,2016,1.284
0.3907741935483871,2017,1.077
0.3907741935483871,2018,1.021
0.3907741935483871,2019,1.599
0.3907741935483871,2020,1.398
